NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.1740773,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.2212205,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.301554,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.4319268,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.5040047,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.6021377,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.7053261,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,19,11,21,0.8103557,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,0.9047003,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,1.005157,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,1.106437,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,1.210453,1
0,1,2,2,0,2.907553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,1.302294,1
0,1,2,2,0,3.407552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,19,11,21,1.400071,1
