NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,27,27,25,0.1041141,0
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.2123345,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.3044305,1
0,1,2,2,0,1.707554,0.3085001,0.3085,15,3,27,27,3,27,1,2,7,27,27,25,0.4021848,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.5010754,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.6015574,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.7008373,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,27,27,3,27,1,2,7,27,27,25,0.8011029,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,0.904052,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.005026,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.102079,1
1,1,2,1,18.90756,5.707551,0.3085,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.203952,1
1,1,2,1,18.40756,6.207554,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.302151,1
1,1,2,1,17.90755,6.707556,0.3085,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.403554,1
1,1,2,1,17.40755,7.207557,0.3085001,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.500854,1
1,1,2,1,16.90755,7.70756,0.3085,0.3075551,15,3,27,27,3,27,1,2,7,27,27,25,1.606645,1
1,1,2,2,16.40755,8.207561,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,1.703431,1
1,1,2,2,15.90755,8.707563,0.3085,0.3085,15,3,27,27,3,27,1,2,7,27,27,25,1.801617,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,1.900176,1
1,1,2,2,14.90754,9.707567,0.3085001,0.3085001,15,3,27,27,3,27,1,2,7,27,27,25,2.003324,1
1,1,2,1,14.40754,10.20757,0.3085001,8.307555,15,3,27,27,2.7,27,1,2,7,27,27,25,2.101728,1
1,1,2,2,13.90754,10.70757,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.203192,1
1,1,2,2,13.40754,11.20757,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.30354,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,27,27,2.7,27,1,2,7,27,27,25,2.403652,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.501556,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.60353,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.70046,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,27,27,2.7,27,1,2,7,27,27,25,2.802167,1
1,1,1,1,10.40753,14.20758,2.307555,8.307554,15,3,27,27,2.7,27,1,2,7,27,27,25,2.902653,4
2,2,1,1,0.4084719,0.2085283,2.707557,7.907553,15,3,27,27,2.7,27,1,2,7,27,27,25,3.002198,4
2,2,1,1,0.4084719,0.2085283,3.207559,7.407551,15,3,27,27,2.7,27,1,2,7,27,27,25,3.103483,4
2,2,1,1,0.4084719,0.2085283,3.70756,6.907549,15,3,27,27,2.7,27,1,2,7,27,27,25,3.200674,4
2,2,1,1,0.4084719,0.2085283,4.207561,6.407548,15,3,27,27,2.7,27,1,2,7,27,27,25,3.300787,4
2,2,1,1,0.4084719,0.2085282,4.707564,5.907546,15,3,27,27,2.7,27,1,2,7,27,27,25,3.400549,4
2,2,1,1,0.4084719,0.2085283,5.207566,5.407544,15,3,27,27,2.7,27,1,2,7,27,27,25,3.502337,4
2,2,1,1,0.4084719,0.2085283,5.707565,4.907544,15,3,27,27,2.7,27,1,2,7,27,27,25,3.601376,4
1,2,1,1,10.40753,0.2085283,6.207565,4.407545,15,3,27,27,2.7,27,0,2,7,27,27,25,3.702666,4
2,2,1,0,0.4084719,0.2085283,6.707564,0,15,3,27,27,2.7,27,0,2,7,27,27,25,3.803709,4
2,2,1,0,0.4084719,0.2085283,7.207564,0,15,3,27,27,2.7,27,0,2,7,27,27,25,3.901937,4
2,2,1,0,0.4084719,0.2085283,7.707563,0,15,3,27,27,2.7,27,0,2,7,27,27,25,4.003655,4
2,2,1,1,0.4084719,4.208528,8.207563,2.407547,15,3,27.3,27,3.2,27,1,2,7,27,27,25,4.103582,4
2,2,1,1,0.4084719,0.2085283,8.707562,1.907547,15,3,27.3,27,3.699999,27,1,2,7,27,27,25,4.200822,4
2,2,1,1,0.4084719,0.2085283,9.207562,1.407548,15,3,27.3,27,4.199999,27,1,2,7,27,27,25,4.303463,4
2,2,1,1,0.4084719,0.2085283,9.707562,0.9075482,15,3,27.3,27,4.699998,27,1,2,7,27,27,25,4.401856,4
