NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.1119192,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.2049132,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.3081188,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.4095201,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.5124682,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.6051055,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.7104366,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.8066218,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,0.9045255,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.005809,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.102668,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.201393,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.306443,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.402295,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.500806,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.608772,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.700199,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.810325,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,1.903192,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,7,11,11,27,2.005399,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27.3,27,3,27,1,2,7,11,11,27,2.102362,0
0,1,2,1,0,0.407555,0.3085001,8.307555,15,3,27.3,27,3,27,1,2,7,11,11,27,2.205929,1
0,1,2,2,0,0.9075544,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.30487,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.406659,1
0,1,2,2,0,1.907554,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.506496,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.605085,1
0,1,2,2,0,2.907553,0.3085,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.710201,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.800834,1
0,1,2,2,0,3.907552,0.3085001,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,2.910228,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27.3,27,3,27,1,2,7,11,11,27,3.006408,0
2,2,2,2,0.3085039,0.3084962,7.908499,0.7085016,15,3,27.3,27,3,27,1,2,7,11,11,27,3.109518,3
2,2,2,2,0.3085039,0.3084962,7.408497,1.208503,15,3,27.3,27,3,27,1,2,7,11,11,27,3.205231,3
2,2,2,2,0.3085039,0.3084962,6.908494,1.708506,15,3,27.3,27,3,27,1,2,7,11,11,27,3.310112,3
2,2,2,2,0.3085039,0.3084962,6.508493,2.108507,15,3,27.3,27,3,27,1,2,7,11,11,27,3.400217,3
2,2,2,2,0.3085039,0.3084962,6.008491,2.608509,15,3,27.3,27,3,27,1,2,7,11,11,27,3.502204,3
2,2,2,2,0.3085039,0.3084962,5.508489,3.108511,15,3,27.3,27,3,27,1,2,7,11,11,27,3.603493,3
2,2,2,2,0.3085039,0.3084962,4.908487,3.708513,15,3,27.3,27,3,27,1,2,7,11,11,27,3.707584,3
2,2,2,2,4.308504,0.3084962,4.408485,4.208514,15,3,27.3,27,3,27,1,2,7,11,11,27,3.80447,3
2,2,2,2,4.308504,0.3084962,4.008483,4.608516,15,3,27.3,27,3,27,1,2,7,11,11,27,3.902555,3
2,2,2,2,0.3085039,0.3084962,3.508482,5.108518,15,3,27.3,27,3,27,1,2,7,11,11,27,4.001007,3
2,2,2,2,0.3085039,0.3084962,3.00848,5.60852,15,3,27.3,27,3,27.3,1,2,7,11,11,27,4.100057,3
