NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.1509186,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.200035,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.302754,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.4030377,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.5040561,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.6002286,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.7016565,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.8009692,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,0.9020935,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.002792,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.101065,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.206263,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.305168,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.402307,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.504582,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.60555,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.700338,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.805936,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,1.901368,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,9,13,7,27,2.006745,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,3,26.5,27,26.5,1,2,9,13,7,27,2.106423,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,3,26,27,26,1,2,9,13,7,27,2.205139,1
0,1,2,2,0,1.407554,0.3085001,0.3085001,15,3,3,25.59999,27,25.59999,1,2,9,13,7,27,2.304431,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,3,24.99999,27,24.99999,1,2,9,13,7,27,2.405761,1
0,1,2,2,0,2.407553,0.3085001,0.3085001,15,3,3,24.59999,27,24.59999,1,2,9,13,7,27,2.50385,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,3,23.99999,27,23.99999,1,2,9,13,7,27,2.606625,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,3,23.49999,27,23.49999,1,2,9,13,7,27,2.70625,1
0,1,2,2,0,4.007552,8.3085,0.3085001,15,3,3,22.99998,27,22.99998,1,2,9,13,7,27,2.806456,1
0,1,2,2,0,4.407551,8.3085,0.3085001,15,3,3,22.59998,27,22.59998,1,2,9,13,7,27,2.902043,1
1,1,2,1,19.70756,4.90755,0.3085001,0.3075551,15,3,3,22.09998,27,22.09998,1,2,9,13,7,27,3.003015,1
1,1,2,1,19.20756,5.40755,0.3085001,0.3075551,15,3,3,21.59998,27,21.59998,1,2,9,13,7,27,3.101693,1
1,1,2,1,18.70756,5.907552,0.3085001,0.3075551,15,3,3,21.09998,27,21.09998,1,2,9,13,7,27,3.204224,1
1,1,2,1,18.20756,6.407555,0.3085001,0.3075551,15,3,3,20.59998,27,20.59998,1,2,9,13,7,27,3.304236,1
1,1,2,1,17.70755,6.907556,0.3085001,0.3075551,15,3,3,20.09997,27,20.09997,1,2,9,13,7,27,3.400401,1
1,1,2,1,17.20755,7.407558,0.3085001,0.3075551,15,3,3,19.59997,27,19.59997,1,2,9,13,7,27,3.500239,1
1,1,2,1,16.70755,7.907561,0.3085001,0.3075551,15,3,3,19.09997,27,19.09997,1,2,9,13,7,27,3.602862,1
1,1,2,2,16.20755,8.407562,0.3085001,0.3085001,15,3,3,18.59997,27,18.59997,1,2,9,13,7,27,3.70453,1
1,1,2,2,15.70755,8.907564,0.3085001,0.3085001,15,3,3,18.09997,27,18.09997,1,2,9,13,7,27,3.800381,1
1,1,2,2,15.20754,9.407566,0.3085001,0.3085001,15,3,3,17.59996,27,17.59996,1,2,9,13,7,27,3.903563,1
1,1,2,2,14.70754,9.907568,0.3085001,0.3085001,15,3,3,17.09996,27,17.09996,1,2,9,13,7,27,4.001706,1
1,1,2,1,14.10754,10.50757,0.3085001,8.307554,15,3,3,16.49996,27,16.49996,1,2,9,13,7,27,4.106853,1
1,1,2,2,13.60754,11.00757,0.3085001,0.3085001,15,3,3,15.99996,27,15.99996,1,2,9,13,7,27,4.206165,1
