NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.1568998,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.2243744,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.3029277,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.4098049,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.5031519,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.6072459,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.700086,0
0,1,2,1,0,0.5075549,0.3085001,8.307555,15,3,27,27,3,27,1,2,11,17,15,25,0.8054892,1
0,1,2,2,0,1.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,0.9080604,1
0,1,2,2,0,1.507554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.001979,1
0,1,2,2,0,2.007554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.10565,1
0,1,2,2,0,2.507553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.207224,1
0,1,2,2,0,3.007552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.302574,1
0,1,2,2,0,3.507552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.403848,1
0,1,2,2,0,3.707552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.503567,0
0,1,2,2,0,3.707552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.601375,0
0,1,2,2,0,3.707552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,11,17,15,25,1.710047,0
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,11,17,15,25,1.804422,3
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,11,17,15,25,1.902364,3
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,27,27,3,27,1,2,11,17,15,25,2.000178,3
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,26.5,27,3,26.5,1,2,11,17,15,25,2.101016,3
0,1,2,2,0,3.707552,0.008498904,0.6085013,15,3,26,27,3,26,1,2,11,17,15,25,2.200987,1
0,1,2,2,0,4.207551,8.008499,0.6085013,15,3,25.49999,27,3,25.49999,1,2,11,17,15,25,2.300234,1
2,2,2,2,0.1085041,0.5084961,7.908499,0.7085016,15,3,24.99999,27,3,24.99999,1,2,11,17,15,25,2.400858,3
2,2,2,2,0.1085041,0.5084961,7.408497,1.208504,15,3,24.49999,27,3,24.49999,1,2,11,17,15,25,2.502874,3
2,2,2,2,0.108504,0.5084961,6.908494,1.708505,15,3,23.99999,27,3,23.99999,1,2,11,17,15,25,2.603278,3
2,2,2,2,0.1085041,0.5084961,6.408493,2.208507,15,3,23.49999,27,3,23.49999,1,2,11,17,15,25,2.701351,3
2,2,2,2,0.1085041,0.5084961,5.908491,2.708509,15,3,22.99998,27,3,22.99998,1,2,11,17,15,25,2.800792,3
2,2,2,2,0.1085041,0.5084961,5.408489,3.208511,15,3,22.49998,27,3,22.49998,1,2,11,17,15,25,2.90362,3
2,2,2,2,0.1085041,0.5084961,4.908487,3.708512,15,3,21.99998,27,3,21.99998,1,2,11,17,15,25,3.003935,3
2,2,2,2,4.108503,0.5084961,4.408484,4.208514,15,3,21.49998,27,3,21.49998,1,2,11,17,15,25,3.1021,3
2,2,2,2,0.1085041,0.5084961,3.908483,4.708517,15,3,20.99998,27,3,20.99998,1,2,11,17,15,25,3.202824,3
2,2,2,2,0.1085041,0.5084961,3.408481,5.208519,15,3,20.49998,27,3,20.49998,1,2,11,17,15,25,3.30027,3
2,2,2,2,0.108504,0.5084961,2.908479,5.70852,15,3,19.99997,27,3,19.99997,1,2,11,17,15,25,3.403403,3
2,2,2,2,0.1085041,0.5084961,2.408477,6.208522,15,3,19.49997,27,3,19.49997,1,2,11,17,15,25,3.502079,3
2,2,2,2,0.108504,0.5084961,1.908476,6.708524,15,3,18.99997,27,3,18.99997,1,2,11,17,15,25,3.600377,3
2,2,2,2,0.1085041,0.5084961,1.408474,7.208526,15,3,18.49997,27,3,18.49997,1,2,11,17,15,25,3.70034,3
2,2,2,2,0.1085041,0.5084961,1.108473,7.508528,15,3,17.99997,27,3,17.99997,1,2,11,17,15,25,3.800529,0
2,2,2,2,0.1085041,0.5084961,1.108473,7.508528,15,3,17.49996,27,3,17.49996,1,2,11,17,15,25,3.900299,1
2,2,2,2,0.00850415,0.608496,1.108473,7.508528,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.004527,1
2,2,2,2,0.00850415,0.608496,1.108473,7.508528,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.103163,1
2,2,2,2,0.00850415,0.608496,1.108473,7.508528,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.20103,1
2,2,2,2,0.00850415,0.608496,1.108473,7.508528,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.303203,0
2,2,2,2,0.00850415,0.608496,0.8084715,7.808529,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.402478,3
0,1,2,2,0,4.60755,0.5084704,8.10853,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.500775,0
1,1,1,2,19.50756,5.10755,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.602146,1
1,1,1,2,19.00756,5.607551,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.701339,1
1,1,1,2,18.50756,6.107553,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.801388,1
1,1,1,2,18.00756,6.607555,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,4.902222,1
1,1,1,2,17.50755,7.107557,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,5.002157,1
1,1,1,2,17.00755,7.607559,0.5075253,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,5.100511,1
1,1,2,2,16.50755,8.107561,0.5084704,0.1085298,15,3,16.99996,27,3,16.99996,1,2,11,17,15,25,5.202358,1
