NEIGHBORHOOD_UP_0,NEIGHBORHOOD_UP_1,NEIGHBORHOOD_UP_2,NEIGHBORHOOD_UP_3,NEIGHBORHOOD_UP_4,NEIGHBORHOOD_UP_5,NEIGHBORHOOD_UP_6,NEIGHBORHOOD_UP_7,NEIGHBORHOOD_UP_8,NEIGHBORHOOD_UP_9,NEIGHBORHOOD_UP_10,NEIGHBORHOOD_DOWN_0,NEIGHBORHOOD_DOWN_1,NEIGHBORHOOD_DOWN_2,NEIGHBORHOOD_DOWN_3,NEIGHBORHOOD_DOWN_4,NEIGHBORHOOD_DOWN_5,NEIGHBORHOOD_DOWN_6,NEIGHBORHOOD_DOWN_7,NEIGHBORHOOD_DOWN_8,NEIGHBORHOOD_DOWN_9,NEIGHBORHOOD_DOWN_10,NEIGHBORHOOD_RIGHT_0,NEIGHBORHOOD_RIGHT_1,NEIGHBORHOOD_RIGHT_2,NEIGHBORHOOD_RIGHT_3,NEIGHBORHOOD_RIGHT_4,NEIGHBORHOOD_RIGHT_5,NEIGHBORHOOD_RIGHT_6,NEIGHBORHOOD_RIGHT_7,NEIGHBORHOOD_RIGHT_8,NEIGHBORHOOD_RIGHT_9,NEIGHBORHOOD_RIGHT_10,NEIGHBORHOOD_LEFT_0,NEIGHBORHOOD_LEFT_1,NEIGHBORHOOD_LEFT_2,NEIGHBORHOOD_LEFT_3,NEIGHBORHOOD_LEFT_4,NEIGHBORHOOD_LEFT_5,NEIGHBORHOOD_LEFT_6,NEIGHBORHOOD_LEFT_7,NEIGHBORHOOD_LEFT_8,NEIGHBORHOOD_LEFT_9,NEIGHBORHOOD_LEFT_10,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action_int
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.1583043,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.2117559,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.3022174,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.4108856,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.5001122,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3075551,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.6025195,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5075549,0.3085001,8.307555,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.7381871,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9075544,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.812279,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407554,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,0.9025971,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.907554,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.002301,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.103451,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.907553,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.20459,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.303517,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.907552,0.3085001,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.401373,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407551,8.3085,0.3085001,15.0,3.0,27.0,27.0,3.0,27.0,1.0,2.0,19.0,9.0,23.0,27.0,1.501754,1
